I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-53.30527151279239,-93.91962420141863,-43.710170283045954,72.96134291408907,-5.868631580759029,-67.34972337833415,46.639328106215544,-50.188645417012594,-108.70335955262453,-88.7299188746938,-105.78481979056869,-90.12149394994822
-53.91502681526981,-94.33370389974698,-43.98733167280443,73.33787613894128,-6.131952850521884,-67.67059116891141,42.282757594855866,-50.92305222971663,-110.09364103882217,-88.53218644785284,-106.82081378298972,-91.06954720187741
-54.36210369021137,-94.60058020789256,-44.16586098496009,73.58111767806986,-6.352641694345039,-67.87725289157834,38.776460804232556,-51.39641702401423,-111.24665876603831,-88.4053056781404,-107.69167115636992,-91.68352424197246
-54.64650213761706,-94.72025312585902,-44.245758219516574,73.6910675314748,-6.530698112228492,-67.96970854633491,36.120437734345614,-51.60873979990538,-112.16241273427659,-88.34927656555647,-108.3973919107093,-91.96342507023337
-54.76822215748871,-94.6927226536427,-44.22702337647206,73.66772569915611,-6.666122104172246,-67.9479581331816,34.31468838519322,-51.56002055738827,-112.84090294353337,-88.36409911010105,-108.93797604600968,-91.90924968666013
-54.72726374977901,-94.51798879120906,-44.10965645579927,73.51109218113379,-6.758913670159927,-67.81200165211021,33.35921275682267,-51.25025929643016,-113.282129393785,-88.44977331175232,-109.3134235622565,-91.52099809124502
-54.59341629192022,-94.28282285176101,-43.95314007245179,73.29517279343236,-6.828639362624017,-67.63045971969768,33.14651202963614,-50.77905396199094,-113.59855835929193,-88.56465655727061,-109.62143637052759,-90.97745700593805
-54.260150978348975,-93.86038763597935,-43.669888011108924,72.91118095744423,-6.8522926693503905,-67.30292202069359,33.75551301044652,-50.07958519522981,-113.6264344235824,-88.76223794481575,-109.7180539553483,-90.00570220646205
-53.67537717867708,-93.18210268481198,-43.21332124111723,72.30103953548041,-6.810607132313635,-66.77522482916856,35.3243245861504,-49.019609166440205,-113.27643319236086,-89.08044621719,-109.52683525898192,-88.47230011766669
-52.80851152046489,-92.20226654383623,-42.552983443158155,71.42660362498373,-6.685626611827502,-66.01136967851699,38.0165137618078,-47.43895655101005,-112.48844319124328,-89.55130826961522,-108.99788840513247,-86.29892712408582
-51.51157320938728,-90.32405603839106,-41.06793870370166,69.91707281380513,-6.580168219906227,-64.48863686493723,41.76161279530788,-45.80559026786068,-110.54712213126913,-89.52226959368,-107.55771194012414,-82.95636869721193
-49.803765576411024,-87.42874079093963,-38.65128189603638,67.71609175753929,-6.538204107197089,-62.09724772379286,46.598365285442924,-44.29746756433451,-107.38871903660402,-88.7597499995818,-105.09034953864193,-78.43219287269858
-48.13056740666616,-84.87001306572711,-36.716507142802584,65.70129609789183,-6.352299844618756,-60.011572178824736,53.02439046276413,-41.71558639286377,-104.73656671811477,-88.56386540554195,-102.90789149415104,-74.15522284872623
-47.15677948280245,-84.71053665286126,-37.33825305111168,65.20713397182226,-5.7002003874004,-60.02156780245514,61.67803045560322,-36.152158242821315,-105.07064037335113,-90.93027841292769,-103.03772587191725,-72.29706148720834
-47.518593100285216,-88.98009202141475,-42.46449137082527,67.5408096636238,-4.24109858310203,-63.890789104064424,73.19489172457543,-25.459052076461376,-110.64434045837879,-97.87798813709469,-107.5100146087807,-74.99064607339233
-49.641890024302484,-99.08824524833108,-53.29133038868167,73.60475900322217,-1.7011777224824982,-72.84609721084644,88.07969766285532,-7.663743694272853,-122.72074595670892,-110.87978561974069,-117.79514194181866,-83.74048762920893
-53.65958326160944,-115.43554183277774,-69.8302316158697,83.66283613755604,2.038452288314147,-87.23380710375977,106.4942423395787,18.571706776983774,-141.08573532642367,-130.3700393751742,-134.44002435837592,-99.108635524487
-59.67102442737814,-137.56239898923013,-89.93240998685542,97.55522588194435,6.972420953344226,-106.53723581004851,127.84262226394458,52.422652299115725,-164.52201807041092,-156.3644042606993,-157.2976632689988,-120.70015250100732
-67.06387037946479,-162.7986387439887,-109.49258007096978,113.67636192035752,12.695427858546282,-128.36348927927793,151.11963117585947,92.30012316649663,-188.54006397604098,-186.25151085744346,-184.15139433070362,-146.21607189705355
-73.97405864132634,-185.688726828168,-124.01204406172292,128.39908082735838,18.28092215550805,-148.14181567934202,175.4075134545219,137.90366855052707,-204.41950049140178,-213.2943593886548,-209.94436920809312,-171.15562348326466
-77.83597683705739,-199.22254205271383,-128.97710999273295,136.96538129396686,22.516092583274258,-160.08652616424752,199.59856168724036,189.1191781714333,-201.47398789659564,-228.41940278790298,-227.93305742755456,-189.69919920953544
